,batting_team,bowling_team,city,current_score,balls_left,wickets_left,current_run_rate,last_five_over_runs,final_score
44165,India,England,Colombo,168,-2,6,8.262295081967213,51.0,170
36002,Australia,India,Melbourne,74,42,5,5.6923076923076925,26.0,132
44362,South Africa,India,Mirpur,81,51,8,7.043478260869565,34.0,172
4236,Sri Lanka,England,St Lucia,40,74,7,5.217391304347826,21.0,128
28512,Bangladesh,India,Colombo,110,30,5,7.333333333333333,42.0,166
29642,India,West Indies,Mumbai,55,83,10,8.91891891891892,51.0,192
39426,India,West Indies,London,116,21,6,7.03030303030303,52.0,153
36642,Bangladesh,Pakistan,Lahore,107,19,6,6.356435643564357,32.0,136
3528,New Zealand,Australia,Sydney,48,64,6,5.142857142857143,30.0,117
3093,Bangladesh,Sri Lanka,Mirpur,52,72,7,6.5,46.0,147
31890,South Africa,Pakistan,Dubai,68,58,9,6.580645161290323,26.0,150
42189,India,South Africa,Durban,73,45,6,5.84,34.0,153
25298,South Africa,West Indies,Durban,115,39,9,8.518518518518519,25.0,195
34892,England,South Africa,Cardiff,136,34,7,9.488372093023257,56.0,181
27608,India,Sri Lanka,St Lucia,91,59,9,8.950819672131148,43.0,163
2038,New Zealand,South Africa,Durban,79,21,2,4.787878787878788,21.0,86
6652,South Africa,New Zealand,Barbados,159,8,7,8.517857142857142,61.0,170
18528,India,Bangladesh,Delhi,72,56,7,6.75,38.0,148
29347,West Indies,India,Mirpur,107,9,5,5.783783783783784,34.0,129
6713,Australia,England,Sydney,101,69,8,11.882352941176471,73.0,221
44269,Sri Lanka,India,Colombo,134,20,3,8.04,33.0,170
49972,Pakistan,England,Dubai,118,19,5,7.00990099009901,42.0,144
29056,Pakistan,Australia,Dubai,89,44,9,7.026315789473684,30.0,147
35237,Sri Lanka,Pakistan,Lahore,75,55,6,6.923076923076923,31.0,147
2143,India,Australia,Durban,136,27,7,8.774193548387096,64.0,188
37427,New Zealand,Australia,Auckland,59,87,8,10.727272727272727,49.0,150
39439,India,West Indies,London,137,9,5,7.405405405405405,62.0,153
33623,New Zealand,England,Manchester,50,68,7,5.769230769230769,36.0,123
8525,Sri Lanka,West Indies,Mirpur,48,85,8,8.228571428571428,43.0,160
31731,Bangladesh,West Indies,St Kitts,41,90,8,8.2,41.0,143
19674,England,Australia,Southampton,118,21,6,7.151515151515151,40.0,145
14008,Pakistan,Sri Lanka,Colombo,64,68,8,7.384615384615385,44.0,175
6975,South Africa,England,Southampton,68,53,7,6.08955223880597,25.0,142
